GFPipeID,PipeName,GFLocID,GF_LocID_Tag,LocID,Loc,GF_LocName,LocName,GF_FacilityType,GF_FacilityTypeGroup,ReportedFacilityType,LocSegment,LocZone,State,County,InterconnectingEntity,UpdatedTime,PartitionKey,RowKey
109,"Mississippi Canyon Gas Pipeline, LLC",10900M0006,,00M0006,M0006,,VENICE GAS PLANT (992002),,,PLT,,,LA,PLAQUEMINES,,2026-03-23T09:37:47.898642,Enbridge,10900M0006
120,"Texas Eastern Transmission, LP",1200072910,,0072910,72910,,"CW-DTI (I-O) & LEBANON, OH",,,INT,,2,OH,WARREN,,2026-03-23T09:37:47.898642,Enbridge,1200072910
105,"East Tennessee Natural Gas, LLC",1050059215,,0059215,59215,,Pulaski,,,LDC,,,VA,PULASKI,,2026-03-23T09:37:47.898642,Enbridge,1050059215
120,"Texas Eastern Transmission, LP",1200073349,,0073349,73349,,"Dynegy Hanging Rock II, LLC",,,END,,2,OH,SCIOTO,,2026-03-23T09:37:47.898642,Enbridge,1200073349
120,"Texas Eastern Transmission, LP",1200070089,,0070089,70089,,"Consumers Gas Co. - Carmi, IL",,,LDC,,1,IL,WHITE,,2026-03-23T09:37:47.898642,Enbridge,1200070089
105,"East Tennessee Natural Gas, LLC",1050050092,,0050092,50092,,MAINLINE JEWELL RIDGE,,,STA,,,VA,SMYTH,,2026-03-23T09:37:47.898642,Enbridge,1050050092
105,"East Tennessee Natural Gas, LLC",1050059167,,0059167,59167,,COOKEVILLE EAST,,,LDC,,,TN,PUTNAM,,2026-03-23T09:37:47.898642,Enbridge,1050059167
120,"Texas Eastern Transmission, LP",1200073239,,0073239,73239,,"Talen Energy Marketing, LLC - (Ironwood) Lebanon Co., PA.",,,END,,3,PA,LEBANON,,2026-03-23T09:37:47.898642,Enbridge,1200073239
120,"Texas Eastern Transmission, LP",1200070056,,0070056,70056,,Columbia Gas of  PA. -  (Uniontown),,,INT,,2,PA,FAYETTE,,2026-03-23T09:37:47.898642,Enbridge,1200070056
120,"Texas Eastern Transmission, LP",1200073878,,0073878,73878,,"Goliad Midstream Energy/City of Magnolia,TX-Enderli Street,Montgom",,,END,,STX,TX,MONTGOMERY,,2026-03-23T09:37:47.898642,Enbridge,1200073878
120,"Texas Eastern Transmission, LP",1200073975,,0073975,73975,,"Atmos Energy/Madison - Endris Road, Madison Co., MS",,,LDC,,ELA,MS,MADISON,,2026-03-23T09:37:47.898642,Enbridge,1200073975
120,"Texas Eastern Transmission, LP",1200070283,,0070283,70283,,"TGC Lick Creek - Williamson Co., Il (To TE)",,,INT,,1,IL,WILLIAMSON,,2026-03-23T09:37:47.898642,Enbridge,1200070283
120,"Texas Eastern Transmission, LP",1200073076,,0073076,73076,,"Atmos Energy - Columbia, TN",,,LDC,,1,TN,MAURY,,2026-03-23T09:37:47.898642,Enbridge,1200073076
100,"Algonquin Gas Transmission, LLC",1000000210,,0000210,210,,"Algonquin - Lambertville, NJ",,,INT,,,NJ,HUNTERDON,,2026-03-23T09:37:47.898642,Enbridge,1000000210
120,"Texas Eastern Transmission, LP",1200073650,,0073650,73650,,"XTO Energy - Mill Run / Stewarton Raod, Fayette, PA.",,,WHD,,2,PA,FAYETTE,,2026-03-23T09:37:47.898642,Enbridge,1200073650
120,"Texas Eastern Transmission, LP",1200071240,,0071240,71240,,"Enfield, IL",,,LDC,,1,IL,WHITE,,2026-03-23T09:37:47.898642,Enbridge,1200071240
120,"Texas Eastern Transmission, LP",1200072190,,0072190,72190,,"Kennett - Dunklin Co., MO",,,LDC,,1,MO,DUNKLIN,,2026-03-23T09:37:47.898642,Enbridge,1200072190
121,Tres Palacios Gas Storage LLC,1210040331,,0040331,40331,,OxyChem (Oxy) (TPGS1085D),,,PLT,,,TX,MATAGORDA,,2026-03-23T09:37:47.898642,Enbridge,1210040331
115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4RM1,,00N4RM1,N4RM1,,(VEC) RAY,,,STA,,M2,MI,MACOMB,,2026-03-23T09:37:47.898642,Enbridge,11500N4RM1
120,"Texas Eastern Transmission, LP",1200075577,,0075577,75577,,"COLUMBIA GAS - PENNSBURG, PA (D70577/R76577)",,,INT,,3,PA,BUCKS,,2026-03-23T09:37:47.898642,Enbridge,1200075577
120,"Texas Eastern Transmission, LP",1200075897,,0075897,75897,,"PEOPLES GAS - BEAVER RUN ROAD, DELMONT, PA (R 76897/D 73897)",,,LDC,,2,PA,WESTMORELAND,,2026-03-23T09:37:47.898642,Enbridge,1200075897
120,"Texas Eastern Transmission, LP",1200079922,,0079922,79922,,EAGLE STATION,,,STA,,3,PA,CHESTER,,2026-03-23T09:37:47.898642,Enbridge,1200079922
100,"Algonquin Gas Transmission, LLC",1000000215,,0000215,215,,"Salem Essex Co., MA (ESSEX,MA)",,,INT,,,MA,ESSEX,,2026-03-23T09:37:47.898642,Enbridge,1000000215
120,"Texas Eastern Transmission, LP",1200073263,,0073263,73263,,"Duke Energy Vermillion II, LLC",,,STA,,2,IN,VERMILLION,,2026-03-23T09:37:47.898642,Enbridge,1200073263
120,"Texas Eastern Transmission, LP",1200073612,,0073612,73612,,"Buffco Prod./Jo Allison #1-Harrison Co., TX",,,WHD,,ETX,TX,HARRISON,,2026-03-23T09:37:47.898642,Enbridge,1200073612
105,"East Tennessee Natural Gas, LLC",1050059036,,0059036,59036,,ERPUD A E D C,,,LDC,,,TN,FRANKLIN,,2026-03-23T09:37:47.898642,Enbridge,1050059036
