GFPipeID,PipeName,GFLocID,GF_LocID_Tag,LocID,Loc,GF_LocName,LocName,GF_FacilityType,GF_FacilityTypeGroup,ReportedFacilityType,LocSegment,LocZone,State,County,InterconnectingEntity,UpdatedTime
100,"Algonquin Gas Transmission, LLC",1000000815,"",0000815,00815,"","Dighton Power LLC Bristol MA (BRISTOL,MA)","","",END,"","",MA,BRISTOL,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070238,"",0070238,70238,"","Hughes Eastern - Chickasaw, MS","","",WHD,"",1,MS,CHICKASAW,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000002210,"",0002210,02210,"","LAMBERTVILLE DELIVERY (HUNTERDON, NJ)","","",INT,"","",NJ,HUNTERDON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073715,"",0073715,73715,"","Lancaster Municipal Gas Company, Fairfield Co., OH","","",LDC,"",2,OH,FAIRFIELD,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070104,"",0070104,70104,"","Lafayette, TN","","",LDC,"",1,TN,MACON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200071220,"",0071220,71220,"","PECO Energy - E. Greenville, PA","","",LDC,"",3,PA,MONTGOMERY,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073297,"",0073297,73297,"","Washington Power Generation, LLC","","",END,"",2,OH,WASHINGTON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200078200,"",0078200,78200,"",AGT MAINLINE (NJ-NY),"","",INT,"",3,NY,ROCKLAND,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200079984,"",0079984,79984,"",NEXUS FUEL-NISOURCE MIDSTREAM SERVCS-DRY RIDGE-GREENE CO,"","","","","","","","",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073811,"",0073811,73811,"",Enterprise Products/Wallace Junction,"","",INT,"",STX,TX,CHAMBERS,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200078201,"",0078201,78201,"",MAHWAH,"","",INT,"",3,NJ,BERGEN,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200079675,"",0079675,79675,"",ZZZ,"","",STA,"",ETX,LA,BIENVILLE,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000240,"",0000240,00240,"","Columbia Hanover (MORRIS,NJ)","","",INT,"","",NJ,MORRIS,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073731,"",0073731,73731,"","Caiman Energy-Ritchie Rd/Burkett Hollow, Blair Co., PA","","",WHD,"",3,PA,BLAIR,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070579,"",0070579,70579,"","Columbia Gas of  PA.  - Rockwood, PA","","",INT,"",3,PA,SOMERSET,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200072996,"",0072996,72996,"","Edmonton #2 - Metcalfe Co., KY","","",LDC,"",2,KY,METCALFE,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073161,"",0073161,73161,"","Middle TN Gas Monroe Co, KY","","",LDC,"",2,KY,MONROE,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000016,"",0000016,00016,"","New England Gas Company Fall River (BRISTOL,MA)","","",LDC,"","",MA,BRISTOL,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200076910,"",0076910,76910,"","Dominion Energy Transmission, Inc - LEBANON, WARREN CO, OH","","",INT,"",2,OH,WARREN,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070041,"",0070041,70041,"","Columbia Gas - Lebanon, OH","","",INT,"",2,OH,WARREN,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070517,"",0070517,70517,"","PECO - Alan Wood Steel, PA","","",LDC,"",3,PA,MONTGOMERY,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073892,"",0073892,73892,"",Hilcorp Energy St. Charles Refuge Gathering-Backgate Road-Refugio,"","",WHD,"",STX,TX,REFUGIO,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000056,"",0000056,00056,"","Morris (MORRIS,NJ)","","",LDC,"","",NJ,MORRIS,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200072672,"",0072672,72672,"","Lebanon #2 - Wilson Co., TN","","",END,"",1,TN,WILSON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200079541,"",0079541,79541,"",STX/WLA ZONE BOUNDARY POINT,"","",STA,"",ZB,TX,JEFFERSON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073878,"",0073878,73878,"","Goliad Midstream Energy/City of Magnolia,TX-Enderli Street,Montgom","","",END,"",STX,TX,MONTGOMERY,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200071288,"",0071288,71288,"","Gas Util Dist #2 - New Roads, LA","","",LDC,"",ELA,LA,POINTE COUPEE,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073704,"",0073704,73704,"","Williams Cantaral - Rt 18, Greene Co., PA.","","",WHD,"",2,PA,GREENE,"",2026-03-23T09:41:40.296409
