Loc,Loc Name,Loc St Abbrev,Loc Cnty,Loc Zone,Dir Flo,Loc Type Ind,PipeCode,GFPipeID,PipeName,GFLocID
79746,DCP  ACCOUNTING POINT,TX,LAVACA,STX,R,LDC,TE,120,"Texas Eastern Transmission, LP",1200079746
73820,BIG CAJUN II POWER PLANT-WOODMEN LN,LA,POINTE COUPEE,ELA,D,END,TE,120,"Texas Eastern Transmission, LP",1200073820
M0014,OFF-SPEC FUEL METERS{VNC_OFFSPEC_FUEL},LA,PLAQUEMINES,,D,STA,MCGP,109,"Mississippi Canyon Gas Pipeline, LLC",10900M0014
83115,"MISSISSIPPI HUB-BOND GAS STORAGE, COVINGTON, MS (INJ)",MS,COVINGTON,,D,STR,SESH,116,"Southeast Supply Header, LLC",1160083115
73978,LIGHTNING RENEWABLES LEMONS EAST LFG RECEIPT CR 702 STODDARD CO MO,MO,STODDARD,1,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073978
79732,POINTE COUPEE PARISH GAS UTILITY DIST.,LA,POINTE COUPEE,ELA,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200079732
30035,BEVERLY-ESSEX CO. MA (BI-DIR 30025) FLOW NORTH,MA,ESSEX,,R,INT,MNUS,111,"Maritimes & Northeast Pipeline, L.L.C. (U.S.)",1110030035
74187,"DEFS - GUADALUPE DELIVERY - LAVACA CO., TX",TX,LAVACA,STX,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200074187
99818,BOS GAS CO D,MA,NORFOLK,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000099818
45107,"TEXAS GAS - STORAGE, LA (D40108/R40107)",LA,ACADIA,,B,INT,EHP,104,"Egan Hub Storage, LLC",1040045107
56100,410 STORAGE INJECTION STORAGE SERVICE,TN,SULLIVAN,,D,STR,ETNG,105,"East Tennessee Natural Gas, LLC",1050056100
71750,"COLUMBIA GULF - ST. LANDRY PSH., LA",LA,ST LANDRY,WLA,R,INT,TE,120,"Texas Eastern Transmission, LP",1200071750
59059,ROCKFORD,TN,BLOUNT,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059059
M0004,WD-143 MARS/URSA 992000,OF,WEST DELTA 143,,R,WHD,MCGP,109,"Mississippi Canyon Gas Pipeline, LLC",10900M0004
73311,"MME DESOTO PIPELINE, L.P. - AUSTIN CO. -- SEALY, TX(REC) -- B/D 70",TX,AUSTIN,,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073311
73477,"PRIME OPERATING COMPANY - MONEY WORT #1 - WALKER CO., TX (REC)",TX,WALKER,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073477
59092,GAINESBORO,TN,JACKSON,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059092
59016,CHATTANOOGA OOLTEWAH,TN,HAMILTON,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059016
73096,"INTERSTATE ENERGY COMPANY (I.E.C.) - BUCKS CO., PA",PA,BUCKS,3,D,INT,TE,120,"Texas Eastern Transmission, LP",1200073096
51010,MT PLEASANT AUCTION POINT,TN,GILES,,R,STA,ETNG,105,"East Tennessee Natural Gas, LLC",1050051010
